,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
1825,2021-01-15 00:15,Oswald Russell,Three Jamaican Dances: No. 2,147587,Oswald Russell:Three Jamaican Dances: No. 2,0,,
1826,2021-01-15 00:19,Ola Gjeilo,Before Dawn,251560,Ola Gjeilo:Before Dawn,0,,
1827,2021-01-15 00:25,Peter Bradley Adams,Little Flower,375215,Peter Bradley Adams:Little Flower,0,,
1828,2021-01-15 00:28,Jacob David,Judith,175093,Jacob David:Judith,0,,
1829,2021-01-15 00:33,Bryan & Katie Torwalt,Remember,312267,Bryan & Katie Torwalt:Remember,0,,
1830,2021-01-15 00:37,Edward Elgar,"Variations on an Original Theme, Op. 36 ""Enigma"": 9. Nimrod. Adagio (Arr. Parkin)",240013,"Edward Elgar:Variations on an Original Theme, Op. 36 ""Enigma"": 9. Nimrod. Adagio (Arr. Parkin)",0,,
1831,2021-01-15 00:41,Phil Wickham,What a Wonderful World - Recorded at Sound Stage Studios Nashville,221237,Phil Wickham:What a Wonderful World - Recorded at Sound Stage Studios Nashville,0,,
1832,2021-01-15 00:44,Gareth Malone,January,141758,Gareth Malone:January,1,Music For Healing,4phNd39qP8IVhJVUeWUx05
1833,2021-01-15 00:48,Simon Wester,Rest,252844,Simon Wester:Rest,0,,
1834,2021-01-15 00:50,Maude Eldridge,If I Could Tell You,143125,Maude Eldridge:If I Could Tell You,0,,
1835,2021-01-15 00:54,Niklas Paschburg,Duvet,204845,Niklas Paschburg:Duvet,0,,
1836,2021-01-15 00:56,Domenik Kalinsky,Feathers,157585,Domenik Kalinsky:Feathers,0,,
1837,2021-01-15 14:47,Tiago Iorc,Amei Te Ver,257847,Tiago Iorc:Amei Te Ver,0,,
1838,2021-01-15 14:51,Ed Sheeran,Dive,238440,Ed Sheeran:Dive,0,,
1839,2021-01-15 14:55,Ed Sheeran,Everything You Are,238656,Ed Sheeran:Everything You Are,0,,
1840,2021-01-15 14:59,Tom Odell,Another Love,244360,Tom Odell:Another Love,0,,
1841,2021-01-15 15:02,Tiago Iorc,Mil Razões - Ao Vivo,207075,Tiago Iorc:Mil Razões - Ao Vivo,0,,
1842,2021-01-15 15:06,Vicente Garcia,A La Mar,211226,Vicente Garcia:A La Mar,0,,
1843,2021-01-15 15:12,Los Claxons,Un Ratito,372066,Los Claxons:Un Ratito,0,,
1844,2021-01-15 15:16,Rihanna,Stay - Album Version (Edited),240706,Rihanna:Stay - Album Version (Edited),0,,
1845,2021-01-15 15:20,Ed Sheeran,Wake Me Up,229613,Ed Sheeran:Wake Me Up,0,,
1846,2021-01-15 15:23,James Bay,Wild Love,197280,James Bay:Wild Love,0,,
1847,2021-01-15 15:27,Hozier,Work Song,229720,Hozier:Work Song,0,,
1848,2021-01-15 15:32,Of Monsters and Men,Dirty Paws,278373,Of Monsters and Men:Dirty Paws,0,,
1849,2021-01-15 15:36,Harry Styles,Meet Me in the Hallway,227200,Harry Styles:Meet Me in the Hallway,0,,
1850,2021-01-15 15:38,James Bay,Stealing Cars,110755,James Bay:Stealing Cars,0,,
1851,2021-01-16 03:44,Johann Sebastian Bach,"世俗カンタータ, BWV 208: ''羊は安らかに草をはみ''",74734,"Johann Sebastian Bach:世俗カンタータ, BWV 208: ''羊は安らかに草をはみ''",0,,
1852,2021-01-16 03:47,Slowheal,Coral Reef,162000,Slowheal:Coral Reef,0,,
1853,2021-01-16 03:49,Jobii,Sisu,153000,Jobii:Sisu,0,,
1854,2021-01-16 03:52,iamalex,Forest Canopy,144000,iamalex:Forest Canopy,0,,
1855,2021-01-16 03:54,mr_slace,pheuratix,134897,mr_slace:pheuratix,0,,
1856,2021-01-16 03:56,goosetaf,Upstream,130500,goosetaf:Upstream,0,,
1857,2021-01-16 03:58,Rook1e,"memories of her, last winter",115135,"Rook1e:memories of her, last winter",0,,
1858,2021-01-16 04:00,Guustavv,Cherry Tomatoes,147200,Guustavv:Cherry Tomatoes,0,,
1859,2021-01-16 04:02,DJ Garlik,Favorite Sause,108800,DJ Garlik:Favorite Sause,0,,
1860,2021-01-16 04:04,Slumberville,Aconcagua,119077,Slumberville:Aconcagua,0,,
1861,2021-01-16 04:06,Jazzinuf,Soul Mates,96343,Jazzinuf:Soul Mates,0,,
1862,2021-01-16 04:08,G R I Z,Cordon Bleu,141442,G R I Z:Cordon Bleu,0,,
1863,2021-01-16 04:10,mt. fujitive,sundown,112000,mt. fujitive:sundown,0,,
1864,2021-01-16 04:12,Kan Sano,On My Way Home,129656,Kan Sano:On My Way Home,0,,
1865,2021-01-16 04:13,Kan Sano,On My Way Home,47237,Kan Sano:On My Way Home,0,,
1866,2021-01-16 04:15,Tom Doolie,Blue Book,110702,Tom Doolie:Blue Book,0,,
1867,2021-01-16 04:17,Yessam,Why Can't I Stop?,155118,Yessam:Why Can't I Stop?,0,,
1868,2021-01-16 04:18,Hyperparadise,Rainy Mornings,60827,Hyperparadise:Rainy Mornings,0,,
1869,2021-01-16 05:36,Felix Hertzog,Schlafmittel,168000,Felix Hertzog:Schlafmittel,0,,
1870,2021-01-16 05:40,Planète Sauvage,Étude des Papillons,227967,Planète Sauvage:Étude des Papillons,0,,
1871,2021-01-16 05:42,Enchanted Feel,Sogno Illuminum,140786,Enchanted Feel:Sogno Illuminum,0,,
1872,2021-01-16 05:45,Marie Protivová,Touha,176000,Marie Protivová:Touha,0,,
